#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2014-07-24T13:47:02 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ53d0be517ba2	
#INFO	-out.max=unlimited	
#INFO	queryParameters=19	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-order=I
#-nav=cat:VII/220A&tab:{VII/220A/barnard}&tab:{VII/220A/notes}&key:source=VII/220A/barnard&key:source=VII/220A/notes&HTTPPRM:&&-ref=VIZ53d0be517ba2&-out.max=100&-out.form=ascii - 999'filled&-out.add=_r&-out.add=_RAJ,_DEJ&-order=I&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-out.src=VII/220A/barnard,VII/220A/notes&-out=Barn&-joincol={VII/220A/barnard}.{Barn}&-out=Diam&-out=_RA.icrs&-out=_DE.icrs&-out=Text&-meta=1u&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source= VII/220A/barnard VII/220A/notes
#-order=I
#-out.src=VII/220A/barnard,VII/220A/notes
#-out=Barn
#-joincol={VII/220A/barnard}.{Barn}
#-out=Diam
#-out=_RA.icrs
#-out=_DE.icrs
#-out=Text
#

#RESOURCE=join
#Name: #Join
#Title:  Join tables VII/220A/barnard,VII/220A/notes
#
#Coosys	B1875:	eq_FK4 B1875
#Table	VII_220A_barnard_VII_220A_notes:
#Name: VII/220A/barnard,VII/220A/notes
#Title:
#Column	_RAJ2000{1}	(F6.2)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra]
#Column	_DEJ2000{1}	(F6.2)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec]
#Column	Barn{1}	(A4)	[ 0-9a]! Barnard number	[ucd=meta.id;meta.main]
#Column	Diam{1}	(F5.1)	? Diameter of the nebula	[ucd=phys.angSize]
#Column	_RA.icrs{1}	(A8)	Right ascension (ICRS) (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra]
#Column	_DE.icrs{1}	(A6)	Declination (ICRS) (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec]
#Column	Text{2}	(a74)	Text of note	[ucd=meta.note]
_DEJ2000	_RAJ2000	Barn	Diam	_RA.icrs	_DE.icrs	Text
+55.0606	064.7372	  9 	     	04 18 56.9	+55 03 38	given in the catalogue.
+28.2750	064.6718	 10 	  8.0	04 18 41.2	+28 16 30	The brightest part of B 7
+55.0397	066.6553	 11 	     	04 26 37.3	+55 02 23	East end of irregular lane, B 8
+54.2475	067.4475	 12 	 24.0	04 29 47.4	+54 14 51	Isolated dark spot SE of B 11; irregularly round with extension E. from
+54.2475	067.4475	 12 	 24.0	04 29 47.4	+54 14 51	the NE side
+54.8934	067.8255	 13 	 11.0	04 31 18.1	+54 53 36	Irregular; irregularly darker inside with a rather sharp, short, narrow
+54.8934	067.8255	 13 	 11.0	04 31 18.1	+54 53 36	extension toward the S.
+25.7490	069.9959	 14 	  3.0	04 39 59.0	+25 44 56	Very small, bright nebula; a bright spot in the dark nebula B 22.
+25.7490	069.9959	 14 	  3.0	04 39 59.0	+25 44 56	(Position given in Astrophysical Journal, 49, 14, (1919ApJ....49....1B) in
+25.7490	069.9959	 14 	  3.0	04 39 59.0	+25 44 56	error by 10m in right ascension.)
+46.6237	067.9832	 15 	 13.0	04 31 56.0	+46 37 25	Elliptical; diameter 15' x 10' slightly NW and SE. One of the finest
+46.6237	067.9832	 15 	 13.0	04 31 56.0	+46 37 25	examples of a dark object seen against the ordinary sky and away from the
+46.6237	067.9832	 15 	 13.0	04 31 56.0	+46 37 25	Milky Way. The background on which the stars shine is uniform over the
+46.6237	067.9832	 15 	 13.0	04 31 56.0	+46 37 25	entire plate. The object is in a region somewhat larger than itself, where
+46.6237	067.9832	 15 	 13.0	04 31 56.0	+46 37 25	there are relatively few stars, and is black by contrast with the sky
+46.6237	067.9832	 15 	 13.0	04 31 56.0	+46 37 25	alone. It clearly shows the presence of a feeble uniform luminosity in
+46.6237	067.9832	 15 	 13.0	04 31 56.0	+46 37 25	space which, from the appearance of similar objects in widely different
+46.6237	067.9832	 15 	 13.0	04 31 56.0	+46 37 25	parts of the sky, leads to the belief that this feeble illumination of
+46.6237	067.9832	 15 	 13.0	04 31 56.0	+46 37 25	distant space is universal. If this object were seen against the star
+46.6237	067.9832	 15 	 13.0	04 31 56.0	+46 37 25	clouds of the Milky Way it would appear strikingly black.
+46.6056	068.1084	 16 	     	04 32 26.0	+46 36 20	Very small; elongated N and S; close to SE edge of B 15
+46.5221	068.1274	 17 	     	04 32 30.6	+46 31 19	Very small; elongated N and S; close to E edge of B 15
+24.3569	067.8054	 18 	 60.0	04 31 13.3	+24 21 25	Group of dark spots
+26.2668	068.4162	 19 	 60.0	04 33 39.9	+26 16 01	Large, indefinite
+50.9766	069.2688	 20 	 60.0	04 37 04.5	+50 58 36	In S part of larger, relatively vacant area; this is the dark object
+50.9766	069.2688	 20 	 60.0	04 37 04.5	+50 58 36	mentioned by Espin in Monthly Notices, 58, 334, (1898MNRAS..58..334E). It
+50.9766	069.2688	 20 	 60.0	04 37 04.5	+50 58 36	is close north of a small group of faint stars and is 6' or 8' in
+50.9766	069.2688	 20 	 60.0	04 37 04.5	+50 58 36	diameter. In a somewhat larger vacant space (sic). It is not so definite
+50.9766	069.2688	 20 	 60.0	04 37 04.5	+50 58 36	as B 15.
+55.3582	069.4902	 21 	 10.0	04 37 57.6	+55 21 30	Indefinite; irregularly round
+26.0528	069.6661	 22 	120.0	04 38 39.9	+26 03 10	Irregular; unequally dark; extended SE and NW; this is a very large region
+26.0528	069.6661	 22 	120.0	04 38 39.9	+26 03 10	of obscure nebulosity with several darker streaks in it trending
+26.0528	069.6661	 22 	120.0	04 38 39.9	+26 03 10	northwest. It is partly separated from another starless region lying about
+26.0528	069.6661	 22 	120.0	04 38 39.9	+26 03 10	2 degrees to the west and north. Near the middle of the first of these
+26.0528	069.6661	 22 	120.0	04 38 39.9	+26 03 10	regions is a small luminous nebula with a faint fan-shaped extension for
+26.0528	069.6661	 22 	120.0	04 38 39.9	+26 03 10	10' to the northeast (B 14). This is undoubtedly a brighter condensation
+26.0528	069.6661	 22 	120.0	04 38 39.9	+26 03 10	of the great obscuring mass surrounding it. The position of this small
+26.0528	069.6661	 22 	120.0	04 38 39.9	+26 03 10	nebula is 4h32m20s, N25 30' (1875.0).
+29.8810	070.1393	 23 	  5.0	04 40 33.4	+29 52 52	Sharply pointed to the SE; BD +29 728 (magnitude 6.5) in N part
+29.7411	070.7220	 24 	  8.0	04 42 53.3	+29 44 28	Sharply pointed to the S
+46.0165	073.0169	 25 	  8.0	04 52 04.1	+46 00 59	Irregularly round; a good example of a dark or more or less starless
+46.0165	073.0169	 25 	  8.0	04 52 04.1	+46 00 59	region
+30.6241	073.6591	 26 	  5.0	04 54 38.2	+30 37 27	Irregular; B 26, 27, 28 are close NW of BD +30 741 (mag 6.8), which is
+30.6241	073.6591	 26 	  5.0	04 54 38.2	+30 37 27	involved in feeble nebulosity
+30.5560	073.7833	 27 	  5.0	04 55 08.0	+30 33 22	Irregular
+30.6372	073.9684	 28 	  4.0	04 55 52.4	+30 38 14	Irregular
+31.5899	076.5973	 29 	 10.0	05 06 23.3	+31 35 24	Round; indefinite
+12.7673	082.5687	 30 	 67.0	05 30 16.5	+12 46 02	Large dark area with few stars. There is a nebulous border, .5 degree
+12.7673	082.5687	 30 	 67.0	05 30 16.5	+12 46 02	wide, to the semi-vacant region extending 1 degree east and north from BD
+12.7673	082.5687	 30 	 67.0	05 30 16.5	+12 46 02	+12 803 (magnitude 7.0). Apparently this nebulous border extends many
+12.7673	082.5687	 30 	 67.0	05 30 16.5	+12 46 02	degrees east in a very diffused manner. There is a narrow dark lane
+12.7673	082.5687	 30 	 67.0	05 30 16.5	+12 46 02	extending south from the semi-vacant region, running close west of BD +12
+12.7673	082.5687	 30 	 67.0	05 30 16.5	+12 46 02	803 to a point nearly 1 degree south of BD +12 801 (mag 6.9). There is a
+12.7673	082.5687	 30 	 67.0	05 30 16.5	+12 46 02	small fan-shaped nebula close north of a small star in the position
+12.7673	082.5687	 30 	 67.0	05 30 16.5	+12 46 02	5h24m30s, +12 3.9' (1875.0). A small strip of nebulosity extends 5'
+12.7673	082.5687	 30 	 67.0	05 30 16.5	+12 46 02	southwest from this star. These two nebulae are probably the brighter
+12.7673	082.5687	 30 	 67.0	05 30 16.5	+12 46 02	parts of a large obscure nebulosity.
+12.7620	083.0063	 31 	 30.0	05 32 01.5	+12 45 43	Extended NE and SW; the E. and darkest part of B 30
+12.4283	083.0355	 32 	     	05 32 08.5	+12 25 42	Dark projection from S. end of B 31 to the E.
 -2.4658	085.2205	 33 	  4.0	05 40 52.9	-02 27 57	Dark mass, on nebulous strip extending S from Zeta Orionis (see
 -2.4658	085.2205	 33 	  4.0	05 40 52.9	-02 27 57	Astrophysical Journal, 38, 500, (1913ApJ....38..496B), and Plate XX)
+32.6457	085.8777	 34 	 20.0	05 43 30.6	+32 38 45	Round; starless; indefinite
 +9.0544	086.3777	 35 	 15.0	05 45 30.6	+09 03 16	Elongated E and W, 20'x10', with an extension SE; three small stars N of
 +9.0544	086.3777	 35 	 15.0	05 45 30.6	+09 03 16	it
 +7.4247	087.4410	 36 	120.0	05 49 45.8	+07 25 29	Irregular, narrow dark lane, NE and SW. The NE end connects brokenly with
 +7.4247	087.4410	 36 	120.0	05 49 45.8	+07 25 29	B 35. Well shown on Plate 21, Lick Observatory Publications, 11, 1913.
+10.4774	098.2290	 37 	175.0	06 32 55.0	+10 28 39	Irregular, semi-vacant region. This region is abruptly terminated on the S
+10.4774	098.2290	 37 	175.0	06 32 55.0	+10 28 39	side by the nebulosity extending north from 15 Monocerotis. Its west side
+10.4774	098.2290	 37 	175.0	06 32 55.0	+10 28 39	ends abruptly at 6h22m15s, +12 26' (1875.0). B 37, 38, and 39 are shown in
+10.4774	098.2290	 37 	175.0	06 32 55.0	+10 28 39	Plates 28 and 29, Lick Observatory Publications, 11, 1913.
+11.0751	098.4239	 38 	 60.0	06 33 41.7	+11 04 31	Irregular vacancy. This seems to refer to a portion of B 37.
+10.3287	099.5101	 39 	     	06 38 02.4	+10 19 43	Small, sharply defined, elongated spot in the nebulosity NW of 15
+10.3287	099.5101	 39 	     	06 38 02.4	+10 19 43	Monocerotis
-18.9687	243.6617	 40 	 15.0	16 14 38.8	-18 58 07	Diffused dark spot; small star in it. This spot and B 41 are connected
-18.9687	243.6617	 40 	 15.0	16 14 38.8	-18 58 07	with the great nebula about Nu Scorpii and are doubtless denser opaque
-18.9687	243.6617	 40 	 15.0	16 14 38.8	-18 58 07	masses of the nebula. There is a larger dark region belonging to this same
-18.9687	243.6617	 40 	 15.0	16 14 38.8	-18 58 07	system in 16h23m, -19 30' (1875.0) (B 43), from which broken dark lanes
-18.9687	243.6617	 40 	 15.0	16 14 38.8	-18 58 07	somewhat like those from Rho Ophiuchi, though less marked, run eastward
-18.9687	243.6617	 40 	 15.0	16 14 38.8	-18 58 07	for some degrees.
-19.6313	245.5735	 41 	 45.0	16 22 17.6	-19 37 53	Diffused dark spot
-23.4394	246.3735	 42 	     	16 25 29.6	-23 26 22	Great nebula of Mu Ophiuchi; this object is put in the list because,
-23.4394	246.3735	 42 	     	16 25 29.6	-23 26 22	though not wholly dark, it is partly so, and the evident obscuration
-23.4394	246.3735	 42 	     	16 25 29.6	-23 26 22	produced by it puts it in the class for which the catalogue is made. The
-23.4394	246.3735	 42 	     	16 25 29.6	-23 26 22	semi-vacant region in which this, the great nebula of Rho Ophiuchi, lies
-23.4394	246.3735	 42 	     	16 25 29.6	-23 26 22	is about 3.5 degrees in diameter. For references to the visual discovery
-23.4394	246.3735	 42 	     	16 25 29.6	-23 26 22	and early observations of this strange region see Astronomische
-23.4394	246.3735	 42 	     	16 25 29.6	-23 26 22	Nachrichten, 138, 211, 1895; Popular Astronomy 5, 227, 1897; 14, 581,
-23.4394	246.3735	 42 	     	16 25 29.6	-23 26 22	1906; Lick Observatory Publications, 11, 19, 1913 and Plate 36.
-19.7757	247.5790	 43 	     	16 30 19.0	-19 46 33	Large dark region
-24.0806	250.1401	 44 	     	16 40 33.6	-24 04 50	Dark lane E. from Rho Ophiuchi region. This is the middle of the main part
-24.0806	250.1401	 44 	     	16 40 33.6	-24 04 50	of the great vacant lane that runs east from the region of Rho Ophiuchi.
-24.0806	250.1401	 44 	     	16 40 33.6	-24 04 50	It is about 32' wide and has its beginning in a vacant area in which is
-24.0806	250.1401	 44 	     	16 40 33.6	-24 04 50	the star 22 Scorpii (CD -24 12695, magnitude 5.5). It runs slightly
-24.0806	250.1401	 44 	     	16 40 33.6	-24 04 50	northeast to about 16h40m, -23 40' (1875.0). From this point it extends in
-24.0806	250.1401	 44 	     	16 40 33.6	-24 04 50	a broken chain of dark spots to a little south of B 63. Its total length
-24.0806	250.1401	 44 	     	16 40 33.6	-24 04 50	is therefore about 10 degrees.
-40.3368	251.1878	 44a	  5.0	16 44 45.1	-40 20 13	Irregular; sharpest on SE side; CD -40 10662 (mag 9.0) close N. Apparently
-40.3368	251.1878	 44a	  5.0	16 44 45.1	-40 20 13	a real, dark object.
-21.5970	251.6094	 45 	120.0	16 46 26.3	-21 35 49	Rather definite; Extended NE and SW with an irregular projection SW that
-21.5970	251.6094	 45 	120.0	16 46 26.3	-21 35 49	connects it with the Rho Ophiuchi region. This appears to be a real, dark
-21.5970	251.6094	 45 	120.0	16 46 26.3	-21 35 49	object.
-22.7326	254.3040	 46 	     	16 57 13.0	-22 43 57	Irregular; definite; a string of small stars in the middle
-22.6420	254.9287	 47 	 15.0	16 59 42.9	-22 38 31	Irregular; definite; connected with B 51 by two sharp lanes
-40.6880	255.4253	 48 	 40.0	17 01 42.1	-40 41 17	Fairly well defined; 15' W and N of CD -40 11088 (magnitude 8); seems to
-40.6880	255.4253	 48 	 40.0	17 01 42.1	-40 41 17	be a real object
-33.2677	255.6648	 49 	     	17 02 39.5	-33 16 04	Small; close SE of and involving CD -33 11668 (magnitude 9.3).
-34.3837	255.7255	 50 	 15.0	17 02 54.1	-34 23 01	Large, irregular dark space; this is an irregular square, sharply defined
-34.3837	255.7255	 50 	 15.0	17 02 54.1	-34 23 01	on the east side and diffused on the west, where there are broken
-34.3837	255.7255	 50 	 15.0	17 02 54.1	-34 23 01	extensions for 30'. The star CD -34 11418 (magnitude 9.8) is near the
-34.3837	255.7255	 50 	 15.0	17 02 54.1	-34 23 01	middle. The stars CD -34 11422 (magnitude 9.8) and -34 11427 (magnitude
-34.3837	255.7255	 50 	 15.0	17 02 54.1	-34 23 01	9.9) are on the eastern border.
-22.2606	256.1836	 51 	 20.0	17 04 44.1	-22 15 38	Definite; one of a straggling group toward the eastern end of the dark
-22.2606	256.1836	 51 	 20.0	17 04 44.1	-22 15 38	lane from Rho Ophiuchi. Two irregular, dark lanes run west from it to B
-22.2606	256.1836	 51 	 20.0	17 04 44.1	-22 15 38	47.
-33.5907	256.5471	 53 	 60.0	17 06 11.3	-33 35 27	Large; diffuse; extended N and S by 30'; curved toward the E at N end
-34.2563	256.6420	 54 	  5.0	17 06 34.1	-34 15 23	Small; round; close S. of magnitude 11 star
-32.0032	256.8881	 55 	 16.0	17 07 33.1	-32 00 12	Irregular; best defined SE.; CD -31 13582 (magnitude 8.9) near the center
-32.0995	257.2028	 56 	  3.0	17 08 48.7	-32 05 58	Small; close E of CD -31 13609 (magnitude 9.0). This seems to be a real
-32.0995	257.2028	 56 	  3.0	17 08 48.7	-32 05 58	object
-22.8333	257.0927	 57 	  5.0	17 08 22.2	-22 50 00	Elongated NE and SW
-40.4100	257.8011	 58 	 30.0	17 11 12.3	-40 24 36	Slightly extended N and S; a darker core at NE side
-27.4914	257.8484	 59 	 60.0	17 11 23.6	-27 29 29	Sink hole; at the W end of a wide broken lane from B 78
-22.4397	257.9633	 60 	 13.0	17 11 51.2	-22 26 23	Curved; extended NE and SW; this and B 57 are the most distinct of a group
-22.4397	257.9633	 60 	 13.0	17 11 51.2	-22 26 23	of dark spots SW of the square end of B 63.
-20.4802	258.7499	 61 	     	17 15 00.0	-20 28 49	Small; elongated E and W
-20.8766	259.0514	 62 	 19.0	17 16 12.3	-20 52 36	Very black in NW part; brightest of three stars in S part is BD -20 4690
-20.8766	259.0514	 62 	 19.0	17 16 12.3	-20 52 36	(magnitude 9.4). Apparently a real object.
-21.4759	259.1180	 63 	 60.0	17 16 28.3	-21 28 33	Large, definite, curved figure, convex to N; the W end abrupt; 97' E and
-21.4759	259.1180	 63 	 60.0	17 16 28.3	-21 28 33	W, 19' wide
-18.4898	259.3280	 64 	     	17 17 18.7	-18 29 23	Cometary; W of M 9; This object is somewhat cometary in form and has a
-18.4898	259.3280	 64 	     	17 17 18.7	-18 29 23	very black core or head that sharply abuts against the thick stratum of
-18.4898	259.3280	 64 	     	17 17 18.7	-18 29 23	stars; from this it spreads out into a large dark area with much dark
-18.4898	259.3280	 64 	     	17 17 18.7	-18 29 23	detail, filling quite a space close southwest of M 9. It thus resembles a
-18.4898	259.3280	 64 	     	17 17 18.7	-18 29 23	dark comet with a dense and well-defined head and diffused widening tail.
-18.4898	259.3280	 64 	     	17 17 18.7	-18 29 23	The position of the head is 17h9m57s, -18 20.6 (1875.0).
-26.7003	259.9019	 65 	 12.0	17 19 36.4	-26 42 01	Definite; elongated; 12' E and W
-26.8993	259.9883	 66 	  8.0	17 19 57.2	-26 53 58	Definite; extended E and W; CD -26 12082 (magnitude 8.7) 5' from SE edge
-26.8630	260.2381	 67 	     	17 20 57.1	-26 51 47	Definite; extended N and S; connects B 65 and 66
-21.8913	260.6253	 67a	 13.0	17 22 30.1	-21 53 29	Irregular; definite; BD -21 4591 (magnitude 9.5) in spot, near SE edge
-23.7911	260.6520	 68 	  4.0	17 22 36.5	-23 47 28	Small; irregular; sharply defined; about 20' SW of B 72
-23.9235	260.7331	 69 	     	17 22 56.0	-23 55 25	Very small; irregular; sharply defined; extends N and S 4'
-24.0384	260.8849	 70 	  4.0	17 23 32.4	-24 02 18	Sharply defined on W side
-24.0065	260.7593	 71 	  1.0	17 23 02.2	-24 00 24	Very small; extends 1.25', plus or minus
-23.6215	260.8998	 72 	     	17 23 36.0	-23 37 17	S-shaped; this is a striking object. It is a thin, curved black marking,
-23.6215	260.8998	 72 	     	17 23 36.0	-23 37 17	the exact form of the letter S or the figure 5, as the imagination or
-23.6215	260.8998	 72 	     	17 23 36.0	-23 37 17	point of view may dictate. The SE branch runs E for some distance passing
-23.6215	260.8998	 72 	     	17 23 36.0	-23 37 17	close S of the star CD -23 13376 (magnitude 9.1). Its average thickness is
-23.6215	260.8998	 72 	     	17 23 36.0	-23 37 17	about 2'-3'. The position in the catalogue is for the southern part of the
-23.6215	260.8998	 72 	     	17 23 36.0	-23 37 17	figure, or the bottom of the S (see Astrophysical Journal, 49,
-23.6215	260.8998	 72 	     	17 23 36.0	-23 37 17	(1919ApJ....49....1B), Plate III).
-24.2866	261.0345	 73 	  1.0	17 24 08.3	-24 17 12	Very small; extended N and S 4'
-24.2003	261.2835	 74 	     	17 25 08.0	-24 12 01	Slightly curved, extending 5' N from CD -24 13325 (magnitude 7.1).
-24.2003	261.2835	 74 	     	17 25 08.0	-24 12 01	Sharpest on W and S sides
-22.0329	261.3237	 75 	     	17 25 17.7	-22 01 59	Curved and scalloped marking; BD -21 4598 (magnitude 8.3) on N edge (see
-22.0329	261.3237	 75 	     	17 25 17.7	-22 01 59	Astrophysical Journal, 49, Plate II, 1(1919ApJ....49....1B))
-24.4154	261.4117	 76 	     	17 25 38.8	-24 24 56	Irregular, narrow black strip, 30' long E and W
-23.8565	262.1544	 77 	 60.0	17 28 37.1	-23 51 23	Indefinite; connected by a vacant strip with B 78
-25.5943	263.1806	 78 	180.0	17 32 43.3	-25 35 39	Very large; CD -26 12152 (magnitude 6.2) S of the middle. This vacant
-25.5943	263.1806	 78 	180.0	17 32 43.3	-25 35 39	region, with its extension to the west running south of Theta Ophiuchi, is
-25.5943	263.1806	 78 	180.0	17 32 43.3	-25 35 39	visible to the naked eye (see Popular Astronomy, 14, 580, 1906.)
-19.6131	264.3468	 79 	 30.0	17 37 23.2	-19 36 47	30' long SE and NW; narrow; sharply defined
-21.2789	264.4281	 80 	  2.0	17 37 42.7	-21 16 44	Small, definite; 3' x 1', SW and NE; close SE of BD -21 4674 (magnitude
-21.2789	264.4281	 80 	  2.0	17 37 42.7	-21 16 44	8.1).
-23.9266	264.6365	 81 	     	17 38 32.8	-23 55 36	Very small; diffused; close SW of NGC 6401
-23.7764	264.6552	 82 	     	17 38 37.3	-23 46 35	Small; angular; well defined; 8' N of NGC 6401
-24.1753	264.7444	 83 	  7.0	17 38 58.6	-24 10 31	Irregular; several small stars in it; narrow extension to the S
-20.0058	266.3282	 83a	  4.0	17 45 18.8	-20 00 21	Small; definite; diam. 4', N and S; about 5' SE of BD -19 4698 (magnitude
-20.0058	266.3282	 83a	  4.0	17 45 18.8	-20 00 21	9.5).
-20.2525	266.6067	 84 	     	17 46 25.6	-20 15 09	Irregular looped figure; sharply defined; 22' long E and W; extension from
-20.2525	266.6067	 84 	     	17 46 25.6	-20 15 09	it 20' toward the NW. BD -20 4865 (magnitude 8.2) near W end and BD -20
-20.2525	266.6067	 84 	     	17 46 25.6	-20 15 09	4860 (magnitude 9.1) near east end.
-17.6683	269.4058	 84a	 16.0	17 57 37.4	-17 40 06	Round; diam. 16', with extension 45' S; BD -17 4967 (magnitude 9.1) in
-17.6683	269.4058	 84a	 16.0	17 57 37.4	-17 40 06	center; perhaps some detail in it
-23.0208	270.6050	 85 	     	18 02 25.2	-23 01 15	Trifid nebula. This is the southern part of the Trifid nebula, NGC 6514.
-23.0208	270.6050	 85 	     	18 02 25.2	-23 01 15	The dark markings in this nebula are too well known to insert in this
-23.0208	270.6050	 85 	     	18 02 25.2	-23 01 15	catalogue.
-27.8694	270.7565	 86 	  5.0	18 03 01.6	-27 52 10	Diam. 5'; edge of diffused nebulosity. For the visual discovery of this
-27.8694	270.7565	 86 	  5.0	18 03 01.6	-27 52 10	object see Astronomische Nachrichten 108, 370, 1884.
-32.4997	271.0444	 87 	     	18 04 10.7	-32 29 59	"Parrot's head"; CD -3 13679 (magnitude 9.3) central; several smaller
