#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2014-04-03T13:10:04 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ533d5b416595	
#INFO	-out.max=unlimited	
#INFO	queryParameters=41	
#-oc.form=dec
#-out.max=unlimited
#-out.all=1
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-nav=cat:VII/196&tab:{VII/196/north}&tab:{VII/196/south}&key:source=VII/196/north&key:source=VII/196/south&HTTPPRM:&&-ref=VIZ533d5b416595&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-order=I&-oc.form=sexa&-meta.foot=1&-meta=1&-meta.ucd=2&-file=.&-meta=1&-usenav=1&-bmark=POST&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-x.rs=10
#-source=VII/196/north,VII/196/south
#-order=I
#-out=recno
#-out=Shk
#-sort=Shk
#-out=m_Shk
#-out=Object
#-out=RAJ2000
#-out=DEJ2000
#-out=n_DEs
#-out=Star
#-out=Vmag
#-out=Rmag
#-out=RV
#-out.all=1
#-out=z
#-out=Note
#-out=Object
#-out=m_Object
#-out=RA2000
#-out=DE2000
#-out=a
#-out=e
#-out=PA
#-out=bjg
#-out=bjs
#-out=Area
#-out=Class
#-out=Notes
#-out.all=1
#
#INFO	CatalogsExamined=2	
#  2 catalogues with potential matches were examined.
#

#RESOURCE=yCat_7196
#Name: VII/196
#Title: Shakhbazian compact groups of galaxies (Stoll+ 1993-97)
#Table	VII_196_north:
#Name: VII/196/north
#Title: Northern part (from POSS)
#Column	_RAJ2000	(F8.4)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F8.4)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec]
#Column	recno	(I8)	Record number within the original table (starting from 1)	[ucd=meta.record]
#Column	Shk	(I3)	Group name (Shakhbazian+, Cat. <VII/89>) (1)	[ucd=meta.id.part;meta.main]
#Column	m_Shk	(A1)	[a] Group 340 divided in 2 parts	[ucd=meta.code.multip]
#Column	Object	(I2)	Object number within group	[ucd=meta.id.part;meta.main]
#Column	RAJ2000	(A10)	Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A9)	Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	n_DEs	(A1)	[?H] Origin of positions (2)	[ucd=meta.note]
#Column	Star	(A1)	[S] S: object probably a star	[ucd=src.class]
#Column	Vmag	(F5.2)	? V magnitude	[ucd=phot.mag;em.opt.V]
#Column	Rmag	(F5.2)	? R magnitude	[ucd=phot.mag;em.opt.R]
#Column	RV	(I5)	? Radial velocity [NULL integer written as an empty string]	[ucd=phys.veloc;pos.heliocentric]
#Column	z	(F7.4)	? Redshift (3)	[ucd=src.redshift]
#Column	Note	(a56)	Other name or remark	[ucd=meta.id]
#_RAJ2000|_DEJ2000|recno|Shk|m_Shk|Object|RAJ2000|DEJ2000|n_DEs|Star|Vmag|Rmag|RV|z|Note
#deg|deg| | | | |"h:m:s"|"d:m:s"| | |mag|mag|km/s| |
#--------|--------|--------|---|-|--|----------|---------|-|-|-----|-----|-----|-------|--------------------------------------------------------
212.6129|+46.2703|      79| 10| |22|14 10 27.1|+46 16 13| | |     |     |     |       |
212.6487|+46.2825|      80| 10| |23|14 10 35.7|+46 16 57| | |     |     |     |       |
212.7429|+46.2672|      81| 10| |24|14 10 58.3|+46 16 02| | |     |     |     |       |
212.6979|+46.2844|      82| 10| |25|14 10 47.5|+46 17 04| | |     |     |     |       |
212.6846|+46.2844|      83| 10| |26|14 10 44.3|+46 17 04| | |     |     |     |       |
212.6596|+46.2892|      84| 10| |27|14 10 38.3|+46 17 21| | |     |     |     |       |
212.6562|+46.2842|      85| 10| |28|14 10 37.5|+46 17 03| | |     |     |     |       |
212.7742|+46.2553|      86| 10| |29|14 11 05.8|+46 15 19| | |     |     |     |       |
212.7650|+46.2656|      87| 10| |30|14 11 03.6|+46 15 56| | |     |     |     |       |
212.6996|+46.2719|      88| 10| |31|14 10 47.9|+46 16 19| | |     |     |     |       |
212.6721|+46.2550|      89| 10| |32|14 10 41.3|+46 15 18| | |     |     |     |       |
212.7821|+44.7225|      90| 11| | 1|14 11 07.7|+44 43 21| | |     |     |     |       |
212.7912|+44.7192|      91| 11| | 2|14 11 09.9|+44 43 09| | |     |     |     |       |
212.7708|+44.7161|      92| 11| | 3|14 11 05.0|+44 42 58| | |     |     |     |       |
212.7571|+44.7042|      93| 11| | 4|14 11 01.7|+44 42 15| | |     |     |     |       |
212.8146|+44.6975|      94| 11| | 5|14 11 15.5|+44 41 51| | |     |     |     |       |
212.7958|+44.7350|      95| 11| | 6|14 11 11.0|+44 44 06| | |     |     |     |       |
212.7987|+44.7450|      96| 11| | 7|14 11 11.7|+44 44 42| | |     |     |     |       |
212.7800|+44.7286|      97| 11| | 8|14 11 07.2|+44 43 43| | |     |     |     |       |
212.7862|+44.6872|      98| 11| | 9|14 11 08.7|+44 41 14| | |     |     |     |       |
212.7829|+44.6886|      99| 11| |10|14 11 07.9|+44 41 19| | |     |     |     |       |
212.7879|+44.6700|     100| 11| |11|14 11 09.1|+44 40 12| | |     |     |     |       |
212.7371|+44.7711|     101| 11| |12|14 10 56.9|+44 46 16| | |     |     |     |       |
212.7596|+44.7625|     102| 11| |13|14 11 02.3|+44 45 45| | |     |     |     |       |
212.7146|+44.7083|     103| 11| |14|14 10 51.5|+44 42 30| | |     |     |     |       |
244.1600|+53.5436|     104| 12| | 1|16 16 38.4|+53 32 37| |S|     |     |     |       |
244.1654|+53.5392|     105| 12| | 2|16 16 39.7|+53 32 21| |S|     |     |     |       |
244.1767|+53.5444|     106| 12| | 3|16 16 42.4|+53 32 40| | |     |     |     |       |
244.1925|+53.5467|     107| 12| | 4|16 16 46.2|+53 32 48| |S|     |     |     |       |
244.2071|+53.5444|     108| 12| | 5|16 16 49.7|+53 32 40| |S|     |     |     |       |
244.2083|+53.5408|     109| 12| | 6|16 16 50.0|+53 32 27| | |     |     |     |       |
244.2054|+53.5467|     110| 12| | 7|16 16 49.3|+53 32 48| |S|     |     |     |       |
251.3283|+53.7114|     111| 13| | 1|16 45 18.8|+53 42 41| | |     |     |     |       |Seem to be single galaxy with #2
251.3271|+53.7133|     112| 13| | 2|16 45 18.5|+53 42 48| | |     |     |     |       |Seem to be single galaxy with #1
251.3287|+53.7172|     113| 13| | 3|16 45 18.9|+53 43 02| |S|     |     |     |       |
251.3362|+53.7108|     114| 13| | 4|16 45 20.7|+53 42 39| |S|     |     |     |       |
251.3237|+53.7153|     115| 13| | 5|16 45 17.7|+53 42 55| | |     |     |     |       |
251.3167|+53.7069|     116| 13| | 6|16 45 16.0|+53 42 25| |S|     |     |     |       |
251.3350|+53.7169|     117| 13| | 7|16 45 20.4|+53 43 01| |S|     |     |     |       |
251.3521|+53.7222|     118| 13| | 8|16 45 24.5|+53 43 20| |S|     |     |     |       |
251.3608|+53.7083|     119| 13| | 9|16 45 26.6|+53 42 30| | |     |     |     |       |
251.3633|+53.7206|     120| 13| |10|16 45 27.2|+53 43 14| | |     |     |     |       |
251.3567|+53.7192|     121| 13| |11|16 45 25.6|+53 43 09| | |     |     |     |       |
216.3375|+47.2458|     122| 14| | 1|14 25 21.0|+47 14 45| | |     |     |     |       |
216.3346|+47.2592|     123| 14| | 2|14 25 20.3|+47 15 33| | |     |     |     |       |
216.3271|+47.2508|     124| 14| | 3|14 25 18.5|+47 15 03| | |     |     |     |       |
216.3354|+47.2500|     125| 14| | 4|14 25 20.5|+47 15 00| | |     |     |     |       |
216.3296|+47.2536|     126| 14| | 5|14 25 19.1|+47 15 13| | |     |     |     |       |
216.3296|+47.2564|     127| 14| | 6|14 25 19.1|+47 15 23| | |     |     |     |       |
215.2850|+44.5667|     128| 15| | 1|14 21 08.4|+44 34 00| | |     |     |     |       |
215.2337|+44.5489|     129| 15| | 2|14 20 56.1|+44 32 56| | |     |     |     |       |
215.2404|+44.5592|     130| 15| | 3|14 20 57.7|+44 33 33| | |     |     |     |       |
215.2496|+44.5397|     131| 15| | 4|14 20 59.9|+44 32 23| | |     |     |     |       |
215.2587|+44.5647|     132| 15| | 5|14 21 02.1|+44 33 53| | |     |     |     |       |
252.2971|+53.4200|     133| 16| | 1|16 49 11.3|+53 25 12| | |15.34|     | 9023| 0.0301|= MCG +09-27-094
252.2846|+53.3928|     134| 16| | 2|16 49 08.3|+53 23 34| | |16.03|     | 9107| 0.0304|= MCG +09-27-091
252.3012|+53.4050|     135| 16| | 3|16 49 12.3|+53 24 18| | |16.60|     |     |       |= MCG +09-27-092
252.3133|+53.4483|     136| 16| | 4|16 49 15.2|+53 26 54| | |16.20|     | 9280| 0.0310|= MCG +09-27-095
252.2958|+53.4328|     137| 16| | 5|16 49 11.0|+53 25 58| | |16.26|     | 9014| 0.0301|= MCG +09-27-096
252.2658|+53.3742|     138| 16| | 6|16 49 03.8|+53 22 27| | |16.79|     |     |       |
252.3217|+53.4542|     139| 16| | 7|16 49 17.2|+53 27 15| | |17.00|     |     |       |
252.2979|+53.3939|     140| 16| | 8|16 49 11.5|+53 23 38| | |     |     |     |       |= MCG +09-27-093
252.2725|+53.4447|     141| 16| | 9|16 49 05.4|+53 26 41| | |     |     |     |       |
252.2750|+53.4453|     142| 16| |10|16 49 06.0|+53 26 43| | |     |     |     |       |
252.2812|+53.4450|     143| 16| |11|16 49 07.5|+53 26 42| | |     |     |     |       |
252.3150|+53.4250|     144| 16| |12|16 49 15.6|+53 25 30| | |     |     |     |       |
252.3079|+53.4417|     145| 16| |13|16 49 13.9|+53 26 30| | |     |     |     |       |
252.2683|+53.3753|     146| 16| |14|16 49 04.4|+53 22 31| | |     |     |     |       |
252.2621|+53.3753|     147| 16| |15|16 49 02.9|+53 22 31| | |     |     |     |       |
136.4012|+77.6844|     148| 17| | 1|09 05 36.3|+77 41 04| | |16.30|     |     |       |
136.3983|+77.6803|     149| 17| | 2|09 05 35.6|+77 40 49| | |17.90|     |     |       |
136.4229|+77.6636|     150| 17| | 3|09 05 41.5|+77 39 49| | |18.50|     |     |       |
136.4475|+77.6575|     151| 17| | 4|09 05 47.4|+77 39 27| | |18.50|     |     |       |
136.3217|+77.6556|     152| 17| | 5|09 05 17.2|+77 39 20| | |18.60|     |     |       |
136.4383|+77.6581|     153| 17| | 6|09 05 45.2|+77 39 29| | |18.70|     |     |       |
136.4154|+77.6653|     154| 17| | 7|09 05 39.7|+77 39 55| | |18.80|     |     |       |
136.4325|+77.6614|     155| 17| | 8|09 05 43.8|+77 39 41| | |19.30|     |     |       |
133.4450|+79.1556|     156| 18| | 1|08 53 46.8|+79 09 20| | |15.60|     |     |       |
133.4050|+79.1547|     157| 18| | 2|08 53 37.2|+79 09 17| | |16.80|     |     |       |
133.4183|+79.1506|     158| 18| | 3|08 53 40.4|+79 09 02| | |16.80|     |     |       |
133.4675|+79.1419|     159| 18| | 4|08 53 52.2|+79 08 31| | |17.90|     |     |       |
133.4054|+79.1475|     160| 18| | 5|08 53 37.3|+79 08 51| | |18.40|     |     |       |
133.4271|+79.1353|     161| 18| | 6|08 53 42.5|+79 08 07| |S|18.50|     |     |       |
133.4308|+79.1578|     162| 18| | 7|08 53 43.4|+79 09 28| | |18.60|     |     |       |
133.3558|+79.1594|     163| 18| | 8|08 53 25.4|+79 09 34| |S|18.60|     |     |       |
133.3954|+79.1681|     164| 18| | 9|08 53 34.9|+79 10 05| | |18.60|     |     |       |
133.4442|+79.1500|     165| 18| |10|08 53 46.6|+79 09 00| | |19.30|     |     |       |
133.3796|+79.1339|     166| 18| |11|08 53 31.1|+79 08 02| | |19.40|     |     |       |
133.3833|+79.1742|     167| 18| |12|08 53 32.0|+79 10 27| | |19.60|     |     |       |
202.1254|+15.8389|     168| 19| | 1|13 28 30.1|+15 50 20| | |     |     |     |       |
202.1233|+15.8400|     169| 19| | 2|13 28 29.6|+15 50 24| | |     |     |     |       |
202.1258|+15.8431|     170| 19| | 3|13 28 30.2|+15 50 35| | |     |     |     |       |
202.1275|+15.8408|     171| 19| | 4|13 28 30.6|+15 50 27| | |     |     |     |       |
202.1271|+15.8394|     172| 19| | 5|13 28 30.5|+15 50 22| | |     |     |     |       |
236.6837|+55.0136|     173| 20| | 1|15 46 44.1|+55 00 49| | |     |     |     |       |
236.6825|+55.0208|     174| 20| | 2|15 46 43.8|+55 01 15| | |     |     |     |       |
236.6837|+55.0069|     175| 20| | 3|15 46 44.1|+55 00 25| | |     |     |     |       |
236.6954|+55.0072|     176| 20| | 4|15 46 46.9|+55 00 26| | |     |     |     |       |
236.7100|+55.0300|     177| 20| | 5|15 46 50.4|+55 01 48| | |     |     |     |       |
236.7079|+55.0200|     178| 20| | 6|15 46 49.9|+55 01 12| | |     |     |     |       |
236.6858|+55.0033|     179| 20| | 7|15 46 44.6|+55 00 12| | |     |     |     |       |
236.7337|+55.0128|     180| 20| | 8|15 46 56.1|+55 00 46| | |     |     |     |       |
236.6862|+55.0278|     181| 20| | 9|15 46 44.7|+55 01 40| | |     |     |     |       |
236.6808|+55.0250|     182| 20| |10|15 46 43.4|+55 01 30| | |     |     |     |       |
236.6775|+55.0183|     183| 20| |11|15 46 42.6|+55 01 06| | |     |     |     |       |
236.6787|+55.0172|     184| 20| |12|15 46 42.9|+55 01 02| | |     |     |     |       |
236.6746|+55.0169|     185| 20| |13|15 46 41.9|+55 01 01| | |     |     |     |       |
236.6846|+55.0094|     186| 20| |14|15 46 44.3|+55 00 34| | |     |     |     |       |
236.4404|+55.1236|     187| 22| | 1|15 45 45.7|+55 07 25| | |     |     |     |       |
236.4192|+55.1217|     188| 22| | 2|15 45 40.6|+55 07 18| | |     |     |     |       |
236.4092|+55.1197|     189| 22| | 3|15 45 38.2|+55 07 11| | |     |     |     |       |
236.4496|+55.1086|     190| 22| | 4|15 45 47.9|+55 06 31| | |     |     |     |       |
236.4429|+55.1081|     191| 22| | 5|15 45 46.3|+55 06 29| | |     |     |     |       |
242.5071|+52.2481|     192| 23| | 1|16 10 01.7|+52 14 53| | |     |     |     |       |
242.5133|+52.2478|     193| 23| | 2|16 10 03.2|+52 14 52| | |     |     |     |       |
242.5100|+52.2428|     194| 23| | 3|16 10 02.4|+52 14 34| | |     |     |     |       |
242.5233|+52.2525|     195| 23| | 4|16 10 05.6|+52 15 09| | |     |     |     |       |
242.5100|+52.2450|     196| 23| | 5|16 10 02.4|+52 14 42| | |     |     |     |       |
242.5225|+52.2475|     197| 23| | 6|16 10 05.4|+52 14 51| | |     |     |     |       |
242.5071|+52.2442|     198| 23| | 7|16 10 01.7|+52 14 39| | |     |     |     |       |
238.0233|+56.4556|     199| 25| | 1|15 52 05.6|+56 27 20| | |     |     |     |       |
238.0283|+56.4572|     200| 25| | 2|15 52 06.8|+56 27 26| | |     |     |     |       |
238.0075|+56.4578|     201| 25| | 3|15 52 01.8|+56 27 28| | |     |     |     |       |
238.0300|+56.4547|     202| 25| | 4|15 52 07.2|+56 27 17| | |     |     |     |       |
238.0342|+56.4575|     203| 25| | 5|15 52 08.2|+56 27 27| | |     |     |     |       |
238.0396|+56.4600|     204| 25| | 6|15 52 09.5|+56 27 36| | |     |     |     |       |
165.5492|+50.3494|     205| 26| | 1|11 02 11.8|+50 20 58| | |     |     |     |       |
165.4525|+50.3972|     206| 26| | 2|11 01 48.6|+50 23 50| | |     |     |     |       |
165.4700|+50.3733|     207| 26| | 3|11 01 52.8|+50 22 24| | |     |     |     |       |
165.4683|+50.3806|     208| 26| | 4|11 01 52.4|+50 22 50| | |     |     |     |       |
165.4525|+50.3814|     209| 26| | 5|11 01 48.6|+50 22 53| | |     |     |     |       |
165.4983|+50.3556|     210| 26| | 6|11 01 59.6|+50 21 20| | |     |     |     |       |
165.4687|+50.3786|     211| 26| | 7|11 01 52.5|+50 22 43| | |     |     |     |       |
165.4504|+50.3833|     212| 26| | 8|11 01 48.1|+50 23 00| | |     |     |     |       |
165.4496|+50.3997|     213| 26| | 9|11 01 47.9|+50 23 59| | |     |     |     |       |
165.5542|+50.3469|     214| 26| |10|11 02 13.0|+50 20 49| | |     |     |     |       |
165.5446|+50.3533|     215| 26| |11|11 02 10.7|+50 21 12| | |     |     |     |       |
165.5404|+50.3764|     216| 26| |12|11 02 09.7|+50 22 35| | |     |     |     |       |
165.5525|+50.3489|     217| 26| |13|11 02 12.6|+50 20 56| | |     |     |     |       |
165.5546|+50.3444|     218| 26| |14|11 02 13.1|+50 20 40| | |     |     |     |       |
